"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"578","Oh no someone is unironically calling the GLAM sector ""Switzerland"" and a safe space for dangerous conversations. I… https://t.co/RkYYWLkDnl",FALSE,90,NA,2018-03-01 00:34:09,TRUE,NA,"969007852441358337",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","jinglefrisbee",21,FALSE,FALSE,NA,NA
"579","Jason Hews: #GLAM #digital is about #civic engagement, a safe place for dangerous #ideas, co-production of meaning,… https://t.co/RCPFCZk4z2",FALSE,3,NA,2018-03-01 00:33:54,TRUE,NA,"969007786490085376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alana_piper",1,FALSE,FALSE,NA,NA
"580","RT @paulabray: .@janson_h #glamslam2018 describes GLAMs as the engine rooms to cultural capital , nice!",FALSE,0,NA,2018-03-01 00:33:43,FALSE,NA,"969007743435599873",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","lyndakelly61",4,TRUE,FALSE,NA,NA
"581","@janson_h speaking on the panel for @sydlivmus about issues affecting the GLAM sector  #glamslam2018 https://t.co/8oRJLLBD5q",FALSE,3,"janson_h",2018-03-01 00:33:19,FALSE,NA,"969007640238997504","14856756","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","manning_n",1,FALSE,FALSE,NA,NA
"582","Hews: issue with spreading ourselves too thin — also safe place for dangerous ideas and comes with responsibility a… https://t.co/8ztA580CW5",FALSE,1,NA,2018-03-01 00:33:15,TRUE,NA,"969007624443150336",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","OzAlleyCat",0,FALSE,FALSE,NA,NA
"583",".@janson_h #glamslam2018 describes GLAMs as the engine rooms to cultural capital , nice!",FALSE,4,NA,2018-03-01 00:33:05,FALSE,NA,"969007582835744768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","paulabray",4,FALSE,FALSE,NA,NA
"584","Do we have a tendancy to spread ourselves thin in the GLAM sector? Surely not!! #glamslam2018",FALSE,2,NA,2018-03-01 00:32:55,FALSE,NA,"969007541047869440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WrightPaige",0,FALSE,FALSE,NA,NA
"585","RT @cap_and_gown: Hands up who think the arts provides a richer and more meaningful life? #glamslam2018 https://t.co/dwTj0vxKVw",FALSE,0,NA,2018-03-01 00:32:52,FALSE,NA,"969007526564933632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CatherineM__",20,TRUE,FALSE,NA,NA
"586","A critical point: @MaggiePatts talking about relevance of libraries and our responsibility, as Library and Informat… https://t.co/LSBxoUpKsw",FALSE,4,NA,2018-03-01 00:32:37,TRUE,NA,"969007465063890944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cfwriter",1,FALSE,FALSE,NA,NA
"587","RT @cap_and_gown: Hands up who think the arts provides a richer and more meaningful life? #glamslam2018 https://t.co/dwTj0vxKVw",FALSE,0,NA,2018-03-01 00:32:26,FALSE,NA,"969007419371044866",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sallyturbitt",20,TRUE,FALSE,NA,NA
"588","RT @cap_and_gown: Hands up who think the arts provides a richer and more meaningful life? #glamslam2018 https://t.co/dwTj0vxKVw",FALSE,0,NA,2018-03-01 00:32:23,FALSE,NA,"969007405487996928",NA,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","mikejonesmelb",20,TRUE,FALSE,NA,NA
"589","RT @cap_and_gown: Hands up who think the arts provides a richer and more meaningful life? #glamslam2018 https://t.co/dwTj0vxKVw",FALSE,0,NA,2018-03-01 00:32:12,FALSE,NA,"969007359170248704",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","OzAlleyCat",20,TRUE,FALSE,NA,NA
"590","RT @cap_and_gown: Hands up who think the arts provides a richer and more meaningful life? #glamslam2018 https://t.co/dwTj0vxKVw",FALSE,0,NA,2018-03-01 00:32:08,FALSE,NA,"969007342384701440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UTSArtgal",20,TRUE,FALSE,NA,NA
"591","Hews: diversity of GLAM including engagement in civic society, we’re engine rooms for that, as well as the arts enr… https://t.co/5uAgnrgp7n",FALSE,2,NA,2018-03-01 00:32:00,TRUE,NA,"969007308259774464",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","OzAlleyCat",0,FALSE,FALSE,NA,NA
"592","Hands up who think the arts provides a richer and more meaningful life? #glamslam2018 https://t.co/dwTj0vxKVw",FALSE,70,NA,2018-03-01 00:31:42,FALSE,NA,"969007233580199936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cap_and_gown",20,FALSE,FALSE,NA,NA
"593","RT @OzAlleyCat: Patton: relevance, the challenge is continuing to help public understand the collections are for them #glamslam2018",FALSE,0,NA,2018-03-01 00:31:39,FALSE,NA,"969007219646722048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kyliebudge",1,TRUE,FALSE,NA,NA
"594","We need to get away from that 'shushing' reputation at libraries. @MaggiePatts #glamslam2018 https://t.co/psKWwLUxLu",FALSE,2,NA,2018-03-01 00:31:17,FALSE,NA,"969007127783030784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WrightPaige",0,FALSE,FALSE,NA,NA
"595","Hews: passionate, resilient, slightly crazy, committed workers in GLAM #glamslam2018",FALSE,2,NA,2018-03-01 00:30:56,FALSE,NA,"969007039488827393",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","OzAlleyCat",0,FALSE,FALSE,NA,NA
"596","Competing for funds for buildings. We need to acknowledge the competition, but also that we can only ever seem to g… https://t.co/emEcQhL3nc",FALSE,11,NA,2018-03-01 00:30:32,TRUE,NA,"969006941912539136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jesiathe",2,FALSE,FALSE,NA,NA
"597","RT @cfwriter: This, coupled with demands to do more and more in an increasingly digital world via @MaggiePatts for #GLAMSLAM2018 https://t.…",FALSE,0,NA,2018-03-01 00:30:16,FALSE,NA,"969006874979835905",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","misskokolib",3,TRUE,FALSE,NA,NA
"598","Patton: how do #GLAM use #digital to draw people into their physical environments? #glamslam2018",FALSE,1,NA,2018-03-01 00:30:10,FALSE,NA,"969006846517260288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alana_piper",0,FALSE,FALSE,NA,NA
"599","Patton: relevance, the challenge is continuing to help public understand the collections are for them #glamslam2018",FALSE,1,NA,2018-03-01 00:29:58,FALSE,NA,"969006796596592641",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","OzAlleyCat",1,FALSE,FALSE,NA,NA
"600","The #GLAM sector is increasingly facing #budget #cuts. #Libraries also need to get #digital #literacies into commun… https://t.co/OB8x8f3SFR",FALSE,2,NA,2018-03-01 00:29:45,TRUE,NA,"969006744872484864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dr_Costume1",3,FALSE,FALSE,NA,NA
"601","Budget cuts = less staff but GLAM orgs are being asked to do more and provide more. GLAM orgs are all competing for… https://t.co/WOFeOam2le",FALSE,7,NA,2018-03-01 00:29:44,TRUE,NA,"969006738400620544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sallyturbitt",3,FALSE,FALSE,NA,NA
"602","RT @cfwriter: This, coupled with demands to do more and more in an increasingly digital world via @MaggiePatts for #GLAMSLAM2018 https://t.…",FALSE,0,NA,2018-03-01 00:29:39,FALSE,NA,"969006717991186433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ellenforsyth",3,TRUE,FALSE,NA,NA
"603","RT @OzAlleyCat: Patton: keep separateness of disciplines but how to still work together (@CoffsLibraries) #glamslam2018",FALSE,0,NA,2018-03-01 00:29:39,FALSE,NA,"969006717361991680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CatherineM__",1,TRUE,FALSE,NA,NA
"604","Fundraising is difficult because we are all competing with each other.  #glamslam2018",FALSE,1,NA,2018-03-01 00:29:37,FALSE,NA,"969006708654657536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WrightPaige",0,FALSE,FALSE,NA,NA
"605",".@MaggiePatts on skills, it is an issue so we must give people opportunities to mix it up with other departments/orgs to grow #glamslam2018",FALSE,1,NA,2018-03-01 00:29:28,FALSE,NA,"969006672113942528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","paulabray",0,FALSE,FALSE,NA,NA
"606","Patton: build content that is actually used — we’re all competing for same funding for new building which is an issue #glamslam2018",FALSE,1,NA,2018-03-01 00:29:15,FALSE,NA,"969006616275111942",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","OzAlleyCat",1,FALSE,FALSE,NA,NA
"607","This, coupled with demands to do more and more in an increasingly digital world via @MaggiePatts for #GLAMSLAM2018 https://t.co/V2kLzzdVxv",FALSE,1,NA,2018-03-01 00:28:34,FALSE,NA,"969006444195401728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cfwriter",3,FALSE,FALSE,NA,NA
"608","Patton: keep separateness of disciplines but how to still work together (@CoffsLibraries) #glamslam2018",FALSE,1,NA,2018-03-01 00:28:20,FALSE,NA,"969006387119321088",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","OzAlleyCat",1,FALSE,FALSE,NA,NA
"609","What is role of libraries and GLAM in cultivating public's digital literacies? #glamslam2018",FALSE,1,NA,2018-03-01 00:28:14,FALSE,NA,"969006362670739456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alana_piper",1,FALSE,FALSE,NA,NA
"610","RT @TurbittNDuck: Follow #GLAMSLAM2018 today for lots of juicy discussions about creating a global GLAM family and how we can support and i…",FALSE,0,NA,2018-03-01 00:28:14,FALSE,NA,"969006360355471360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","amywalduck",1,TRUE,FALSE,NA,NA
"611","RT @alli_burnie: Hey #musetech, lots of goodness on the #glamslam2018 tag. Including my #musesocial work with @kyliebudge on Instagram and…",FALSE,0,NA,2018-03-01 00:28:06,FALSE,NA,"969006328982179840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ITweetMuseums",4,TRUE,FALSE,NA,NA
"612","RT @alana_piper: Maggie Patton gives shout out to Indigenous Services Unit @statelibrarynsw https://t.co/925B7CfD13 #glamslam2018",FALSE,0,NA,2018-03-01 00:27:53,FALSE,NA,"969006272090537984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WrightPaige",2,TRUE,FALSE,NA,NA
"613","Patton: major issue is addressing legacy issues of how the catalogue records over the years be updated to cope with… https://t.co/kJTcbE27za",FALSE,1,NA,2018-03-01 00:27:35,TRUE,NA,"969006196643414016",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","OzAlleyCat",0,FALSE,FALSE,NA,NA
"614","RT @UTSArtgal: Holdings vs collections,  forming vs collecting archivist Julia Munt #glamslam2018",FALSE,0,NA,2018-03-01 00:27:13,FALSE,NA,"969006103676706816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maureenh1",1,TRUE,FALSE,NA,NA
"615","RT @alana_piper: Maggie Patton gives shout out to Indigenous Services Unit @statelibrarynsw https://t.co/925B7CfD13 #glamslam2018",FALSE,0,NA,2018-03-01 00:27:12,FALSE,NA,"969006102330277889",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sallyturbitt",2,TRUE,FALSE,NA,NA
"616","Maggie Patton gives shout out to Indigenous Services Unit @statelibrarynsw https://t.co/925B7CfD13 #glamslam2018",FALSE,8,NA,2018-03-01 00:26:40,FALSE,NA,"969005968708136960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alana_piper",2,FALSE,FALSE,NA,NA
"617","Holdings vs collections,  forming vs collecting archivist Julia Munt #glamslam2018",FALSE,2,NA,2018-03-01 00:26:27,FALSE,NA,"969005913511096325",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UTSArtgal",1,FALSE,FALSE,NA,NA
"618","Access: how do we provide it in a better way in a digital environment? @MaggiePatts #glamslam2018",FALSE,3,NA,2018-03-01 00:25:15,FALSE,NA,"969005610179022849",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WrightPaige",0,FALSE,FALSE,NA,NA
"619","Patton: from the library perspective, conundrum is about providing access in a digital environment on top of everything else #glamslam2018",FALSE,3,NA,2018-03-01 00:25:02,FALSE,NA,"969005556126986240",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","OzAlleyCat",1,FALSE,FALSE,NA,NA
